"Product Name"," Product Code"," IMEI or Serial Numbers"," Expected"," Counted"
"Greens &amp; Chicken",87413239,,-1,
"Serv. Greens &amp; Chicken",41257693,,-1,
"Bora B.C",30641240,,0,
"Bora F.C",12393986,,0,
"Pumpkin B.C",16650572,,0,
"Pumpkin F.C",14910733,,0,
"Ochro B.C",92073423,,0,
"Ochro F.C",05059217,,0,
"Cabbage B.C",88573492,,0,
"Cabbage F.C",23269931,,0,
"Pc. Baked Chicken",23706943,,0,
"Pc. Fried Chicken",29201391,,-1,
"Corilla B.C",19489549,,0,
"Corilla F.C",48130197,,0,
"Pak-Choi B.C",63293223,,0,
"Pak-Choi F.C",39200136,,0,
"Calalu B.C",42850141,,0,
"Calalu F.C",42653482,,0,
"Serv. Chicken Nuggets",50599820,,0,
"Roti &amp; Curry Chicken",79684483,,0,
"Puri &amp; Curry Chicken",50403922,,0,
"Anyrice/ Curry Chicken",81639021,,0,
"Curry Chicken",10837238,,0,
"Serv. Curry Chicken",13629507,,0,
"Lasagna (Chicken)",65438923,,0,
"Raisin Rice-Baked Snapper",52951272,,0,
"Caribbean rice-Baked Snapper",40939239,,-2,
"Pine Rice- Baked Snapper",72411890,,0,
"Fry Rice-Baked Snapper",16731953,,0,
"Cook-up- Baked Snapper",13420429,,0,
"Chowmein- Baked Snapper",40855311,,0,
"Raisin Rice-Fried Snapper",28376708,,-1,
"Caribbean rice-Fried Snapper",40468397,,-1,
"Pine Rice- Fried Snapper",14612298,,0,
"Fry Rice-Fried Snapper",91546097,,0,
"Cook-up- Fried Snapper",29682301,,0,
"Chowmein- Fried Snapper",63569033,,0,
Curry-Snapper,28351090,,0,
"Stew Snapper",92192231,,-1,
"Anyrice/ Stew Fish",12360724,,0,
"Anyrice/ Curry Fish",45923032,,0,
"Methem- Fried Snapper",91742480,,0,
"Bora- Fried Snapper",58364329,,0,
"Pumpkin-Fried Snapper",15843771,,0,
"Ochro- Fried Snapper",67533892,,0,
"Cabbage- Fried Snapper",23441553,,0,
"Corilla- Fried Snapper",68239417,,0,
"Calalu- Fried Snapper",19620810,,0,
"Pak Choi- Fried Snapper",16332904,,0,
"Serv. Curry Snapper",69119389,,0,
"Serv. Stew Snapper",87294101,,0,
"Serv. Fried Snapper",23142482,,0,
"Serv. Baked Snapper",64109529,,0,
"Roti &amp; Curry Snapper",34051798,,0,
"Roti &amp; Stew Snapper",05989212,,0,
"Salt Fish &amp; Potato",08320762,,0,
"Anyrice Oxtail",88312147,,0,
"Curry Beef",06341131,,0,
"Serv. Oxtail",87612050,,0,
"Pepper Pot",98108604,,0,
"Serv. P/Pot",56397803,,0,
"Greens Beef",36691419,,0,
"Serv. Curry Beef",63983931,,0,
"Anyrice/ Curry Beef",02942816,,0,
"Roti &amp; Curry Beef",75489514,,0,
"Puri &amp; Curry Beef",24840251,,0,
"Veg. Rice",82662190,,0,
"Veg. Chow",52016893,,0,
"Veg. Meal/Dholl",42179395,,0,
"Veg. Methem",73132821,,0,
"Serv. Plain Rice",89806210,,0,
"Cup Dhal",81739741,,0,
"Serv. Steam Greens",53940867,,0,
"Serv. Cream Potato",96221804,,0,
"Roti &amp; Greens",23745230,,0,
"Puri &amp; Greens",37561892,,0,
Channa,18170969,,0,
"Curry Mutton",34223034,,-2,
"A/Rice Curry Mutton",15206821,,0,
"Serv. Mutton",13439642,,0,
"Curry Duck",43810715,,-3,
"A/Rice Curry Duck",59208632,,-1,
"Serv. Curry Duck",60790896,,0,
"Meat Cook-up",16103872,,-1,
"Chicken Puff",01009835,,-1,
Pine-tart,64310028,,0,
"Dough Nut",29511727,,0,
"Coconut Bun",72696215,,0,
"Cheese Pie",50779586,,0,
"Cheese Roll",03766105,,0,
"Cheese Scone",10374097,,0,
"Chicken Pattie",79932280,,0,
"Beef Pattie",22027316,,0,
"Veg. Pattie",31365952,,0,
Eclair,16349290,,0,
"Cinnamon Roll",95220890,,0,
Salara,18039941,,0,
"Baked Custard",14059871,,0,
"Mac &amp; Cheese",73961218,,0,
"Lg. Porridge",46581059,,0,
"Serv. White Pudding",04893119,,0,
"Pec Pudding",66180274,,0,
"Bake &amp; Salt.Fish",84405163,,0,
"Lg. Ches&amp;Pot bake",85121303,,0,
"Cup cakes",40282341,,0,
"Plain Roti",89725390,,0,
"Plain Puri",00265191,,0,
"Chicken Burger",13759560,,0,
"Egg ball",62042926,,0,
Poulorie,94485131,,0,
"Sub Sandwich (Turkey)",33915271,,0,
"Sub Sandwich (Chicken)",76013981,,0,
Fudge,28619149,,0,
"Grilled Cheese &amp; Turkey",04350694,,0,
"Grilled Cheese &amp; Chicken",91521047,,0,
"Cream Horn",43970892,,0,
"Pin Wheel",13192599,,0,
Pizza,96342187,,0,
"Sponge Cake",38712764,,0,
"Fruit Cake",38592026,,0,
"Curried Chicken Wrap",02013917,,0,
"Curried Beef Wrap",27812268,,0,
"Serv. Mac Salad",31811297,,0,
"SV Bea Salad",69564397,,0,
"Serv. Potatoe Salad",90552697,,0,
"Garden Salad",49678849,,0,
T/Mist,46032272,,0,
"Sm. Agua Mist",96237143,,0,
"12oz Drink",15336021,,0,
"20oz Drink",01738740,,0,
"1 Lt. Drink",00722164,,-1,
"Vita Malt",11259683,,0,
Smalta,38310146,,-1,
"Lg. Ginseng up",74436912,,0,
"Sm. Blue Water",49210713,,0,
Mistic,11793023,,0,
"Fruta Tin",75136302,,0,
LLB,07719055,,0,
"Canada Dry",64525898,,-1,
"Xtra Energy",10905843,,0,
"Cherry (J)",32647593,,0,
"Passion (J)",74918369,,0,
"Pine-apple (J)",78604254,,0,
"Guava (J)",81786949,,0,
"Cane (J)",79318506,,0,
"G/Apple (j)",10025217,,0,
"Tamarind (J)",00304254,,0,
"Sorrel (J)",38724200,,0,
Ginger/Lime,69542815,,0,
"Mango&amp;Carrot (J)",02605712,,0,
"Fruit Punch (J)",47030513,,0,
"16 oz Cup",31393802,,0,
"8 oz Cup",93837261,,0,
"Compartment Box",96623378,,0,
"Regular Box",04532316,,0,
"Burger Box",46841729,,0,
"32 oz Bowl",32036958,,0,
"16 oz Bowl",93034329,,0,
"Another Demo",25399438,,10,
